Cuprite,,,,,,,,,,,,,
,,,,,,,,,,,,,
M3 Screws,TRUE,M3 Screws,,,,,,,,,,,
HeatSets,TRUE,3x4x5mm Heatsets,,,,,,,,,,,
,,,,,,,,,,,,,
Category,Have/Exclude,Component / Item,Qty ,Est. USD,Est. Total,Notes,Sources,,,,,,Additional Notes
Electronics,,,,,,,,,,,,,
Mainboard,TRUE,Fysetc Spider V2.3,1,,,,,,,,,,
PSU,TRUE,Meanwell LRS-350,1,,,,,,,,,,
PI,TRUE,BTT PI,1,,,,,,,,,,
,,,,,,,,,,,,,
,Parts Total(Shipping Included),,Tax,Total,,,,,,,,,
From Ali:,,$84.14,$7.33,$91.47,,,,,,,,,
From Amazon:,,$24.83,$5.50,$30.33,,,,,,,,,
Oshcut:,,$79.45,$4.80,$84.25,,,,,,,,,
BST:,,$62.99,$0.00,$62.99,,,,,,,,,
IN3DTEC,,$73.83,$5.00,$78.83,,,,,,,,,
,,,,,,,,,,,,,
Total,$347.87,,,,,,,,,,,,
